step,loss,val_loss,mae,val_mae,mse,val_mse,train_mse,test_mse
56,953.38525390625,1871.3621826171875,23.556678771972656,30.91457748413086,952.6315307617188,1870.605224609375,953.38525390625,1871.3621826171875
57,1007.753662109375,1932.208740234375,24.017715454101562,31.682388305664062,1006.99267578125,1931.4442138671875,1007.753662109375,1932.208740234375
58,956.7271118164062,1974.1922607421875,23.59846305847168,31.742794036865234,955.9588623046875,1973.4202880859375,956.7271118164062,1974.1922607421875
59,975.6962280273438,1968.9400634765625,23.956689834594727,31.484466552734375,974.9207763671875,1968.16064453125,975.6962280273438,1968.9400634765625
60,971.2825317382812,1931.8109130859375,23.868066787719727,31.20911407470703,970.4995727539062,1931.0247802734375,971.2825317382812,1931.8109130859375
61,917.0634765625,1908.994384765625,22.851564407348633,31.46768569946289,916.2740478515625,1908.201416015625,917.0634765625,1908.994384765625
62,954.4382934570312,1817.5362548828125,23.49834632873535,30.275407791137695,953.6420288085938,1816.7366943359375,954.4382934570312,1817.5362548828125
63,920.0035400390625,1938.5164794921875,23.30388069152832,31.12520408630371,919.201171875,1937.710693359375,920.0035400390625,1938.5164794921875
64,942.8416137695312,1879.8836669921875,23.340667724609375,30.753681182861328,942.03271484375,1879.0714111328125,942.8416137695312,1879.8836669921875
65,909.6056518554688,1957.783935546875,23.32285499572754,31.60987663269043,908.790771484375,1956.96484375,909.6056518554688,1957.783935546875
66,915.085693359375,1916.7432861328125,22.94217872619629,31.394859313964844,914.2630004882812,1915.916748046875,915.085693359375,1916.7432861328125
67,917.8510131835938,1857.65869140625,23.476764678955078,30.380739212036133,917.0216064453125,1856.825439453125,917.8510131835938,1857.65869140625
68,883.1727294921875,1860.9891357421875,22.790359497070312,30.590633392333984,882.3360595703125,1860.148681640625,883.1727294921875,1860.9891357421875
69,878.0926513671875,1805.08251953125,22.575063705444336,30.505878448486328,877.2494506835938,1804.2359619140625,878.0926513671875,1805.08251953125
70,928.22216796875,1921.3846435546875,23.20856285095215,31.866249084472656,927.3721923828125,1920.5306396484375,928.22216796875,1921.3846435546875
71,906.6879272460938,1765.8154296875,23.0675106048584,30.141372680664062,905.8305053710938,1764.9547119140625,906.6879272460938,1765.8154296875
72,904.0899658203125,1796.3248291015625,23.06664276123047,30.605680465698242,903.2260131835938,1795.456787109375,904.0899658203125,1796.3248291015625
73,872.0557861328125,1791.6075439453125,22.423410415649414,30.526302337646484,871.1846923828125,1790.7330322265625,872.0557861328125,1791.6075439453125
74,859.5960083007812,1901.01708984375,22.318824768066406,31.411958694458008,858.718505859375,1900.1363525390625,859.5960083007812,1901.01708984375
75,851.3507080078125,1784.0052490234375,22.43831443786621,30.196941375732422,850.4664916992188,1783.1170654296875,851.3507080078125,1784.0052490234375
76,853.5111694335938,1816.7742919921875,22.197490692138672,30.57019805908203,852.6199951171875,1815.8797607421875,853.5111694335938,1816.7742919921875
77,873.081298828125,1724.2119140625,22.881271362304688,29.716611862182617,872.1831665039062,1723.31103515625,873.081298828125,1724.2119140625
78,900.4014282226562,1772.2415771484375,22.736473083496094,29.83881187438965,899.4968872070312,1771.333251953125,900.4014282226562,1772.2415771484375
79,865.4408569335938,1847.828369140625,22.457427978515625,30.754390716552734,864.5291137695312,1846.9130859375,865.4408569335938,1847.828369140625
80,855.1927490234375,1833.1475830078125,22.380945205688477,30.651140213012695,854.2748413085938,1832.2252197265625,855.1927490234375,1833.1475830078125
81,849.0673217773438,1840.5093994140625,22.253042221069336,31.177080154418945,848.141845703125,1839.5802001953125,849.0673217773438,1840.5093994140625
82,875.5801391601562,1841.9202880859375,22.8970947265625,30.660274505615234,874.6477661132812,1840.9840087890625,875.5801391601562,1841.9202880859375
83,837.6167602539062,1891.951416015625,22.047819137573242,31.069238662719727,836.6776123046875,1891.0086669921875,837.6167602539062,1891.951416015625
84,887.6348876953125,1815.1617431640625,22.672529220581055,30.39995574951172,886.6887817382812,1814.211181640625,887.6348876953125,1815.1617431640625
85,882.629150390625,1735.5469970703125,22.77085304260254,30.450258255004883,881.67529296875,1734.58935546875,882.629150390625,1735.5469970703125
86,837.5396118164062,1816.876708984375,22.159883499145508,30.38620376586914,836.5789794921875,1815.9122314453125,837.5396118164062,1816.876708984375
87,823.9616088867188,1773.5877685546875,21.977569580078125,30.509336471557617,822.9938354492188,1772.61669921875,823.9616088867188,1773.5877685546875
88,817.2389526367188,1807.94775390625,21.847196578979492,30.672622680664062,816.2650756835938,1806.969970703125,817.2389526367188,1807.94775390625
89,821.7883911132812,1769.595458984375,21.808874130249023,30.148351669311523,820.80712890625,1768.610595703125,821.7883911132812,1769.595458984375
90,821.5767822265625,1780.8741455078125,22.033687591552734,30.456798553466797,820.5882568359375,1779.882568359375,821.5767822265625,1780.8741455078125
91,825.6864624023438,1778.3382568359375,21.87428855895996,30.462745666503906,824.6913452148438,1777.3394775390625,825.6864624023438,1778.3382568359375
92,862.5287475585938,1845.9576416015625,22.340126037597656,31.01291847229004,861.52685546875,1844.9520263671875,862.5287475585938,1845.9576416015625
93,826.0029296875,1827.538818359375,21.845321655273438,31.162580490112305,824.9942626953125,1826.5267333984375,826.0029296875,1827.538818359375
94,817.5490112304688,1878.64990234375,22.014957427978516,31.391334533691406,816.5336303710938,1877.631591796875,817.5490112304688,1878.64990234375
95,844.4144287109375,1837.9757080078125,22.045698165893555,30.879470825195312,843.392578125,1836.950439453125,844.4144287109375,1837.9757080078125
96,818.1707153320312,1853.41259765625,21.594453811645508,30.911788940429688,817.1422119140625,1852.380126953125,818.1707153320312,1853.41259765625
97,823.3140258789062,1882.4237060546875,22.104291915893555,31.18379783630371,822.2781372070312,1881.38427734375,823.3140258789062,1882.4237060546875
98,800.009765625,1744.8099365234375,21.440221786499023,29.91948890686035,798.9671020507812,1743.764404296875,800.009765625,1744.8099365234375
99,801.1433715820312,1840.9378662109375,21.71096420288086,30.59663963317871,800.0941772460938,1839.8848876953125,801.1433715820312,1840.9378662109375
100,830.3544311523438,1786.7730712890625,21.820741653442383,30.68392562866211,829.29833984375,1785.7132568359375,830.3544311523438,1786.7730712890625
101,787.1107788085938,1814.880859375,21.17335319519043,30.761619567871094,786.0486450195312,1813.816162109375,787.1107788085938,1814.880859375
102,790.0794677734375,1843.8665771484375,21.323575973510742,31.075469970703125,789.0111694335938,1842.7952880859375,790.0794677734375,1843.8665771484375
103,775.7841796875,1824.864501953125,21.284582138061523,30.810346603393555,774.7092895507812,1823.787109375,775.7841796875,1824.864501953125
104,766.9503173828125,1771.40185546875,21.0781307220459,30.595340728759766,765.8693237304688,1770.3177490234375,766.9503173828125,1771.40185546875
105,783.1690673828125,1851.0616455078125,21.328227996826172,30.881479263305664,782.0819091796875,1849.971435546875,783.1690673828125,1851.0616455078125
106,737.0196533203125,1809.6793212890625,20.95868682861328,30.50254249572754,735.9262084960938,1808.5831298828125,737.0196533203125,1809.6793212890625
107,757.9193725585938,1958.8934326171875,21.003664016723633,31.98699951171875,756.81982421875,1957.791259765625,757.9193725585938,1958.8934326171875
108,804.3448486328125,1833.038818359375,21.519500732421875,30.794931411743164,803.23974609375,1831.93017578125,804.3448486328125,1833.038818359375
109,799.4246826171875,1857.2193603515625,21.575607299804688,30.736520767211914,798.31201171875,1856.102294921875,799.4246826171875,1857.2193603515625
110,787.9986572265625,1862.4949951171875,21.25632095336914,30.845867156982422,786.8787841796875,1861.371826171875,787.9986572265625,1862.4949951171875
111,804.75048828125,1927.1119384765625,21.627552032470703,31.15067481994629,803.6236572265625,1925.9813232421875,804.75048828125,1927.1119384765625
112,760.1513061523438,1944.226318359375,21.091943740844727,31.581724166870117,759.01708984375,1943.0889892578125,760.1513061523438,1944.226318359375
113,776.0345458984375,1909.9998779296875,21.492427825927734,31.235244750976562,774.8935546875,1908.8553466796875,776.0345458984375,1909.9998779296875
114,784.6780395507812,1877.9234619140625,21.122215270996094,30.931657791137695,783.5302124023438,1876.772216796875,784.6780395507812,1877.9234619140625
115,747.6156616210938,1907.6368408203125,20.984905242919922,31.279464721679688,746.460205078125,1906.4781494140625,747.6156616210938,1907.6368408203125
